date | value
2011-01-03 | 
2011-01-03 | A12
2011-01-03 | 12sdfghjk
2011-01-03 | hello
2011-01-03 | 1000.0000000000001
2011-01-03 | 1000.1
2011-01-03 | 1500
2011-01-03 | 123.45 
2011-01-03|
2011-01-03 | -0.999999999999999999999
2001-42-42
2009-01-01 | 1
2012-01-11 | 2147483648
hi | bye

				2122-03-26 | 1
2012-02-29 | 2
2012-01-11 	|     0.000000000000000001
2010-08-19 |1
2010-08-19| 1
2010-08-19|1
2010-08-21 	| 	1
2000-08-12 | 1
2010-02-29 | 1
2010-06-31 | 1.111
2010-06-31 , 1.111
2010/06-31 | 1.111
2010/06/31 | 1.111
2010-06-31 | 1.111
06-2006-31 | 1.111
06-06-31 | 1.111
